434|Boarding Ship|All|Fr|450|1500,80,500,220,78|1,5,0,0,1,0|0,0,0,0,0,0|1,20,300,110,2,0|0,0,1,2, , 
432|Salvage Ship|All|Fr|5|3000,1,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,1,2, , 
433|Repair Ship|All|Fr|5|3000,1,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,1,0, , 
435|Small Transport|All|Fr|5|750,50,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|25000,0,1,5, , 
436|Large Transport|All|Fr|10|3000,75,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|200000,0,1,10, , 
441|Light Frigate|All|Fr|200|2000,70,275,80,23|1,36,400,25,1,3|1,60,150,20,2,1|2,20,80,80,2,0|0,2,1,5, , 
411|Outrider|In|Fr|400|4600,100,1500,300,27|1,36,750,33,1,2|1,64,190,44,4,2|2,20,200,100,2,0|0,2,1,8, , 
412|Arc|Sr|Fr|400|3500,100,2500,500,30|1,36,1000,28,1,3|2,64,160,40,2,3|3,20,140,97,2,0|0,2,1,10, , 
413|Prime|Nd|Fr|400|4000,100,2000,1000,33|1,36,825,30,1,2|3,64,225,37,1,2|2,20,130,105,3,0|0,2,1,9, , 
423|Hammerhead|In|Fr|600|6000,150,1000,350,25|0,0,0,0,0,0|2,70,120,44,6,1|1,26,340,95,1,0|0,2,1,10, , 
425|Scythe|Sr|Fr|600|3000,100,2000,500,35|2,45,500,30,2,2|1,60,500,50,2,5|2,20,120,90,3,0|0,2,1,12, , 
437|Adamant|In|Cr|1750|7500,150,3000,700,10|0,13,0,150,0,0|3,80,300,50,3,1|4,25,160,115,2,0|0,4,1,15,Shoot Missiles, 
414|Spearhead|In|Cr|2000|16000,200,3000,600,18|2,54,1950,22,1,2|3,80,275,33,2,2|2,32,230,90,4,0|0,4,1,15, , 
415|Starbeamer|Sr|Cr|2000|10000,200,6000,1200,20|1,54,3400,19,1,4|4,80,240,30,2,5|2,30,280,88,3,0|0,4,1,18, , 
416|Infinite|Nd|Cr|2000|11000,200,4000,3000,24|1,54,1250,20,3,3|1,80,200,27,10,3|4,30,220,93,2,0|0,4,1,16, , 
426|The Volker|Sr|Cr|2500|6500,150,4000,400,22|1,54,8000,20,1,8|2,72,135,32,2,3|1,20,200,95,3,0|0,4,1,10, , 
427|Protector|Sr|Cr|2500|7500,180,8000,2000,21|2,45,1500,21,1,2|7,65,160,34,4,1|5,40,175,90,5,0|0,4,1,20,Anti-Minor EMP blast,Soaks up shield-damage
428|Defender|Nd|Cr|2500|18000,350,3000,1500,20|1,63,550,10,2,5|4,80,400,26,2,1|3,20,220,96,2,0|0,4,1,10, ,  
420|Colossus|In|Ca|2000|21000,300,3000,500,4|1,72,90,25,4,1|2,80,560,33,2,1|3,27,190,105,2,0|0,20,1,16, , 
421|Heron|Sr|Ca|2000|19000,300,5000,600,5|2,72,110,22,2,3|2,80,400,30,3,3|3,27,350,88,1,0|0,20,1,20, , 
422|Rivet|Nd|Ca|2000|20000,300,3500,500,7|1,72,70,23,6,2|3,80,350,27,2,1|2,27,260,89,2,0|0,20,1,18, , 
417|Warden|In|Ba|10000|64000,1000,5000,1000,11|1,73,5500,20,3,3|4,80,320,33,8,3|4,36,200,90,5,0|0,8,1,28, , 
424|Omega|In|Ba|12000|40000,1000,6000,1000,12|4,64,1500,35,6,5|4,84,225,45,5,2|4,34,300,100,3,0|0,8,1,35, , 
418|Beast|Sr|Ba|10000|40000,1000,10000,2000,13|3,68,7500,17,1,4|5,80,300,30,6,5|4,32,300,88,3,0|0,8,1,32, , 
419|Beacon|Nd|Ba|10000|44000,1000,6000,4000,15|3,68,4000,18,2,2|5,80,400,27,5,1|5,33,250,92,3,0|0,8,1,30, , 
429|Gravity Well|Nd|Ba|10000|25000,275,15000,5000,55|0,0,0,0,0,0|4,80,350,38,6,1|5,36,120,80,6,0|0,0,1,60,Create singularity, 
401|Spike|In|Fi|70|225,22,120,0,102|1,9,95,110,3,1|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0, , 
402|Vulture|In|Fi|90|185,18,100,0,125|1,8,125,85,3,2|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0, ,  
408|Anvil|In|Co|200|440,50,120,0,85|1,10,145,90,2,1|2,28,180,40,5,2|0,0,0,0,0,0|0,0,0,0, , 
403|Orb|Sr|Fi|70|150,15,140,0,105|1,9,120,110,3,1|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0, , 
404|Bolt|Sr|Fi|90|150,15,180,0,108|1,9,185,90,2,3|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0, , 
409|Blade|Sr|Co|200|320,30,220,0,90|1,9,155,80,2,2|2,30,280,35,3,3|0,0,0,0,0,0|0,0,0,0, , 
405|Swoop|Nd|Fi|70|180,18,130,0,111|1,9,90,105,3,1|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0, , 
406|Blink|Nd|Fi|90|150,15,100,0,118|1,8,125,95,3,2|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0, , 
410|Volt|Nd|Co|200|380,40,175,0,96|1,11,140,87,2,1|3,32,200,38,3,1|0,0,0,0,0,0|0,0,0,0, , 
407|Ghost|Nd|Co|240|300,30,200,0,94|1,12,130,90,2,1|1,30,380,42,5,2|0,0,0,0,0,0|0,0,0,0,Cloak, 
501|Projectile Cannon|In|De|100|1100,80,400,400,0|1,60,220,42,2,1|0,0,0,0,0,0|1,45,80,85,1,0|0,0,0,2, , 
504|InTech Shield-booster|In|De|75|800,150,1000,350,0|0,0,0,0,0,0|0,0,0,0,0,0|1,40,200,90,2,0|0,0,0,3, , 
507|InTech Artillery|In|De|600|2250,150,800,200,0|1,90,350,30,1,5|1,88,700,27,5,3|1,42,100,80,2,0|0,0,0,5, , 
